date,rolling_return,rolling_volatility,rolling_sharpe
2013-11-18,,,
2013-11-19,,,
2013-11-20,,,
2013-11-21,,,
2013-11-22,,,
2013-11-25,,,
2013-11-26,,,
2013-11-27,,,
2013-11-28,,,
2013-11-29,,,
2013-12-02,,,
2013-12-03,,,
2013-12-04,,,
2013-12-05,,,
2013-12-06,,,
2013-12-09,,,
2013-12-10,,,
2013-12-11,,,
2013-12-12,,,
2013-12-13,,,
2013-12-16,,,
2013-12-17,,,
2013-12-18,,,
2013-12-19,,,
2013-12-20,,,
2013-12-23,,,
2013-12-24,,,
2013-12-26,,,
2013-12-27,,,
2013-12-30,,,
2013-12-31,,,
2014-01-01,,,
2014-01-02,,,
2014-01-03,,,
2014-01-06,,,
2014-01-07,,,
2014-01-08,,,
2014-01-09,,,
2014-01-10,,,
2014-01-13,,,
2014-01-14,,,
2014-01-15,,,
2014-01-16,,,
2014-01-17,,,
2014-01-20,,,
2014-01-21,,,
2014-01-22,,,
2014-01-23,,,
2014-01-24,,,
2014-01-27,,,
2014-01-28,,,
2014-01-29,,,
2014-01-30,,,
2014-01-31,,,
2014-02-03,,,
2014-02-04,,,
2014-02-05,,,
2014-02-06,,,
2014-02-07,,,
2014-02-10,,,
2014-02-11,,,
2014-02-12,,,
2014-02-13,,,
2014-02-14,,,
2014-02-17,,,
2014-02-18,,,
2014-02-19,,,
2014-02-20,,,
2014-02-21,,,
2014-02-24,,,
2014-02-25,,,
2014-02-26,,,
2014-02-28,,,
2014-03-03,,,
2014-03-04,,,
2014-03-05,,,
2014-03-06,,,
2014-03-07,,,
2014-03-10,,,
2014-03-11,,,
2014-03-12,,,
2014-03-13,,,
2014-03-14,,,
2014-03-18,,,
2014-03-19,,,
2014-03-20,,,
2014-03-21,,,
2014-03-24,,,
2014-03-25,,,
2014-03-26,,,
2014-03-27,0.38961761004136564,0.0990035086827595,3.2283462908928593
2014-03-28,0.4145742569742538,0.10006594655820386,3.4434717186613577
2014-03-31,0.4666451500059732,0.09791725140296367,4.050819894582619
2014-04-01,0.5097601628241555,0.09496653005336586,4.630685806641929
2014-04-02,0.5507444996610596,0.09660728742343042,4.976275729117133
2014-04-03,0.5293869823174032,0.09658655309875379,4.756220898034413
2014-04-04,0.5562307253574481,0.09741880889002287,4.991138065610709
2014-04-07,0.5728626454721535,0.09727348064141822,5.169575943579825
2014-04-09,0.5730890705698323,0.09727526398761173,5.1718088437560255
2014-04-10,0.5590562841112866,0.09713463539171822,5.034829050822627
2014-04-11,0.5654427560812477,0.09732017032593128,5.090853770826533
2014-04-15,0.5785083170611179,0.09736635765440672,5.222628527052674
2014-04-16,0.5619557607643598,0.09858504056016625,4.99016643873185
2014-04-17,0.5744341117599749,0.09909312340882263,5.0905057223684524
2014-04-21,0.5881458012429984,0.0992417017177968,5.221049138359147
2014-04-22,0.6143015887276724,0.09952945424660027,5.468748852767517
2014-04-23,0.6210727402530405,0.09946669577316504,5.540273917510723
2014-04-25,0.6313541371149852,0.09924140078395542,5.6564511653461125
2014-04-28,0.6533468518351403,0.09936420121934154,5.870794961129221
2014-04-29,0.6626740426062934,0.0991793632432174,5.975779872198611
2014-04-30,0.6136932740444924,0.10299333424618758,5.278917106857504
2014-05-02,0.6276655863298234,0.10217776998170057,5.457797585812433
2014-05-05,0.5983260034406391,0.10193324685492021,5.1830587148135905
2014-05-06,0.5926090844779904,0.1018125915302457,5.133049622086653
2014-05-07,0.5845123437487554,0.10188163659410784,5.0500989280192945
2014-05-08,0.5920250110703543,0.10186984661695456,5.124431108974222
2014-05-09,0.5762064213980271,0.10172835641937071,4.976060158794006
2014-05-12,0.5260493335478718,0.09925797247737206,4.594586431350265
2014-05-13,0.5357667763516359,0.09937754000752413,4.686841476619078
2014-05-14,0.5301944932760798,0.09920182141388349,4.638972215601624
2014-05-15,0.4817926735412977,0.09931825012673563,4.1461934036879144
2014-05-16,0.4894462864067743,0.0993546180484122,4.2217090120802645
2014-05-19,0.5384775744794871,0.1031249401951394,4.5428154779339005
2014-05-20,0.5930526031630561,0.1105337540624004,4.7320622338383025
2014-05-21,0.6384866319834624,0.1130831163572801,5.027157459893121
2014-05-22,0.6692672777938578,0.11514624704795612,5.20440129971648
2014-05-23,0.6433024732485327,0.1153770205707229,4.9689484995594455
2014-05-26,0.6230176123529775,0.1182556407686012,4.676458634519637
2014-05-27,0.6578087866444184,0.1182728402905592,4.969938873543215
2014-05-28,0.7070639910816493,0.12010887818754767,5.304054127346742
2014-05-29,0.6906226596962962,0.12055705738596834,5.147957930901942
2014-05-30,0.6443868952673235,0.1192812978106495,4.8153977682161155
2014-06-02,0.6681652145302532,0.11937213422439455,5.01092837467267
2014-06-03,0.7121246308884646,0.11535513703907373,5.566502258767726
2014-06-04,0.7553263843136455,0.11797682227799568,5.808991724652245
2014-06-05,0.7795298645298675,0.11901056541301903,5.9619065086153205
2014-06-06,0.8088127099157917,0.12066977683362733,6.122599455325297
2014-06-09,0.8448669583977322,0.12212461979039663,6.344887375925034
2014-06-10,0.8844706197186852,0.1213206534934998,6.713371518084705
2014-06-11,0.8913606634261243,0.12041578127274732,6.821038361788347
2014-06-12,0.9407289267908057,0.11906858773618975,7.312834924354746
2014-06-13,0.9297497280431574,0.120074969961051,7.1601077920072465
2014-06-16,0.9307659816058208,0.12002488180477376,7.171562834828682
2014-06-17,0.9441969241424659,0.12104573989918613,7.222037924428794
2014-06-18,0.997804488025433,0.12010133879557242,7.725180229711452
2014-06-19,0.9944493944179488,0.12028796033546583,7.6853027671247585
