date,drawdown
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,-0.011589403973509894
2013-11-21,-0.023735770744956794
2013-11-22,-0.025124362926114682
2013-11-25,-0.01922666096987828
2013-11-26,-0.018898586993011265
2013-11-27,-0.020439771721549056
2013-11-28,-0.017509994811853374
2013-11-29,-0.011894589068269833
2013-12-02,-0.008056886501663184
2013-12-03,-0.007782219916379308
2013-12-04,-0.009681997131260042
2013-12-05,-0.005714590899380438
2013-12-06,-0.004799035615100487
2013-12-09,-0.005996887112033431
2013-12-10,-0.005668813135166414
2013-12-11,-0.007164220099490314
2013-12-12,-0.007988219855342215
2013-12-13,-0.008980071413312116
2013-12-16,-0.005516220587786512
2013-12-17,-0.011436811426129992
2013-12-18,-0.003021332438123728
2013-12-19,0.0
2013-12-20,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,-0.010258350525767294
2014-01-10,-0.013834852692370935
2014-01-13,-0.015505314782161753
2014-01-14,-0.013078147643149402
2014-01-15,0.0
2014-01-16,-0.0011910790320163744
2014-01-17,-0.016889072741407385
2014-01-20,-0.014728013180323669
2014-01-21,-0.011054925147458393
2014-01-22,-0.006468914263706325
2014-01-23,-0.004792844967156153
2014-01-24,-0.010848091064054306
2014-01-27,-0.02410686903123189
2014-01-28,-0.03231604247944135
2014-01-29,-0.03731572153000159
2014-01-30,-0.03956949981812854
2014-01-31,-0.029598670556098338
2014-02-03,-0.03718734175409567
2014-02-04,-0.03917009607086557
2014-02-05,-0.03407769829326209
2014-02-06,-0.0308539394760678
2014-02-07,-0.03321470091078319
2014-02-10,-0.020020112831558568
2014-02-11,-0.023008508726258627
2014-02-12,-0.023785919591466954
2014-02-13,-0.024456347310086973
2014-02-14,-0.030390345840851866
2014-02-17,-0.02700254619888871
2014-02-18,-0.024306570904863437
2014-02-19,-0.01568372928984581
